Index,School / Cohort,Class,% Grads,% Total Regents of Cohort,% Advanced Regents of Cohort,% Dropout,PC 1,PC 2,PC 3
02M139-2013,STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL - 2013,1,82.7,66.7,4,8,-0.517816619,-0.615937676,0.403983905
02M260-2017,THE CLINTON SCHOOL - 2017,1,97.6,97.6,0,0,-1.800925359,-1.371730829,0.574679489
02M260-2016,THE CLINTON SCHOOL - 2016,1,96.9,96.9,0,0,-1.770880498,-1.364605721,0.55155977
02M260-2015,THE CLINTON SCHOOL - 2015,1,90.7,89.5,0,1.2,-1.420551856,-1.239195131,0.422592902
02M280-2017,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING - 2017,1,92.1,92.1,0,1,-1.51495368,-1.266574103,0.472473362
02M280-2016,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING - 2016,1,86.5,86.5,0,1.1,-1.269604297,-1.204655868,0.295460495
02M280-2015,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING - 2015,1,96.3,88.8,0,2.5,-1.468295988,-1.214976585,0.608297476
02M280-2014,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING - 2014,1,96.4,88.1,0,2.4,-1.461357855,-1.218715825,0.59063489
02M282-2017,URBAN ASSEMBLY MAKER ACADEMY - 2017,1,92.3,92.3,0,1.9,-1.478623507,-1.224353484,0.550582919
02M282-2016,URBAN ASSEMBLY MAKER ACADEMY - 2016,1,88,88,7.6,5.4,-1.271531459,-0.691518647,0.584496515
02M282-2015,URBAN ASSEMBLY MAKER ACADEMY - 2015,1,86.8,80.3,0,3.9,-1.010953354,-1.052180471,0.422033848
02M282-2014,URBAN ASSEMBLY MAKER ACADEMY - 2014,1,84.9,72,0,5.4,-0.72477968,-0.941512238,0.374289349
02M288-2017,FOOD AND FINANCE HIGH SCHOOL - 2017,0,80.2,80.2,45.7,3.7,-1.784268155,0.893241744,-0.320210507
