Index,School / Cohort,Class,% Grads,% Total Regents of Cohort,% Advanced Regents of Cohort,% Dropout,PC 1,PC 2,PC 3
26Q430-2004,FRANCIS LEWIS HIGH SCHOOL - 2004,0,78.4,65.2,43.3,5.4,-1.306486196,0.931300829,-0.427183369
26Q430-2003,FRANCIS LEWIS HIGH SCHOOL - 2003,0,77.1,67.7,41.8,7.1,-1.212871866,0.95513995,-0.253051102
26Q430-2002,FRANCIS LEWIS HIGH SCHOOL - 2002,1,72.9,63.7,38.9,9,-0.883786495,0.969827105,-0.198588574
26Q430-2001,FRANCIS LEWIS HIGH SCHOOL - 2001,1,70.8,60.6,38.6,8.8,-0.777351574,0.971601179,-0.296081456
26Q435-2017,MARTIN VAN BUREN HIGH SCHOOL - 2017,1,87,87,27.2,7.3,-1.526142746,0.229508791,0.439017476
26Q435-2016,MARTIN VAN BUREN HIGH SCHOOL - 2016,1,84.1,80.1,14.6,8.1,-1.028417329,-0.216137278,0.511023098
26Q435-2015,MARTIN VAN BUREN HIGH SCHOOL - 2015,1,75.4,70.4,9.5,7.7,-0.552597101,-0.357202516,0.244161543
26Q435-2014,MARTIN VAN BUREN HIGH SCHOOL - 2014,1,77,71.5,9.9,8.8,-0.564244883,-0.301342848,0.370886887
26Q435-2013,MARTIN VAN BUREN HIGH SCHOOL - 2013,1,62.8,60.7,8.2,10.7,0.105148269,-0.143606428,0.131023064
26Q435-2012,MARTIN VAN BUREN HIGH SCHOOL - 2012,1,63.2,57.1,3.9,11,0.270132172,-0.301277401,0.160753882
26Q435-2011,MARTIN VAN BUREN HIGH SCHOOL - 2011,1,52.9,50.4,2.9,11,0.659245442,-0.24802359,-0.107404948
26Q435-2010,MARTIN VAN BUREN HIGH SCHOOL - 2010,2,49.1,45.8,2,15.7,1.0911361,-0.01356639,0.139571925
26Q435-2009,MARTIN VAN BUREN HIGH SCHOOL - 2009,2,45,42.4,5.5,11.3,0.963275557,-0.044151958,-0.381061702
26Q435-2008,MARTIN VAN BUREN HIGH SCHOOL - 2008,1,51,48.6,3.9,11.8,0.758674164,-0.147914492,-0.11841082
26Q435-2007,MARTIN VAN BUREN HIGH SCHOOL - 2007,1,58.5,44.9,3.9,9.4,0.544083595,-0.311527816,-0.243663999
26Q435-2006,MARTIN VAN BUREN HIGH SCHOOL - 2006,1,62.8,50.1,6.1,8.5,0.252320051,-0.310272136,-0.188064417
26Q435-2005,MARTIN VAN BUREN HIGH SCHOOL - 2005,1,67.4,52.5,10.3,7.4,-0.039481355,-0.229985235,-0.215778588
26Q435-2004,MARTIN VAN BUREN HIGH SCHOOL - 2004,1,71.3,58.6,10.1,9.2,-0.157648778,-0.195549559,0.094533347
26Q435-2003,MARTIN VAN BUREN HIGH SCHOOL - 2003,1,68.2,53.2,11.4,10.4,0.055904238,-0.044456968,0.032579938
26Q435-2002,MARTIN VAN BUREN HIGH SCHOOL - 2002,1,65,46.9,10,11.2,0.324056628,-0.022423577,-0.041191144
26Q435-2001,MARTIN VAN BUREN HIGH SCHOOL - 2001,1,63.5,42,13,13,0.48715163,0.215805358,-0.04337965
26Q495-2017,BAYSIDE HIGH SCHOOL - 2017,0,99.4,99.4,49,0.4,-2.839101229,0.67316349,0.007400725
26Q495-2016,BAYSIDE HIGH SCHOOL - 2016,0,98.2,94.7,57.6,0.3,-2.893774861,1.048731381,-0.212717793
26Q495-2015,BAYSIDE HIGH SCHOOL - 2015,0,96.5,90.3,48.6,0.4,-2.580911696,0.703018827,-0.183914434
26Q495-2014,BAYSIDE HIGH SCHOOL - 2014,0,96.8,88.9,52.5,0.1,-2.652360463,0.852529223,-0.277921175
26Q495-2013,BAYSIDE HIGH SCHOOL - 2013,0,95.9,91.3,35.6,0.2,-2.337348064,0.152733897,-0.018873584
26Q495-2012,BAYSIDE HIGH SCHOOL - 2012,0,92.8,89.5,38,1.3,-2.223798643,0.334902621,-0.044962376
26Q495-2011,BAYSIDE HIGH SCHOOL - 2011,0,89.4,84,34.9,2.9,-1.893383494,0.324667187,-0.022658165
26Q495-2010,BAYSIDE HIGH SCHOOL - 2010,0,87.9,83.3,38.3,2.8,-1.91827392,0.474619001,-0.112817237
26Q495-2009,BAYSIDE HIGH SCHOOL - 2009,0,89.3,86.8,46,2.7,-2.180071819,0.770815636,-0.143823792
26Q495-2008,BAYSIDE HIGH SCHOOL - 2008,0,89.9,85.3,41.9,3,-2.066200024,0.61423441,-0.07925139
26Q495-2007,BAYSIDE HIGH SCHOOL - 2007,0,83.4,79.1,46.1,5.7,-1.742626942,0.987502844,-0.130983652
26Q495-2006,BAYSIDE HIGH SCHOOL - 2006,0,80.2,77.1,49.9,6.4,-1.670744901,1.20968149,-0.212596891
26Q495-2005,BAYSIDE HIGH SCHOOL - 2005,0,78.7,76,53.3,5.2,-1.742420356,1.306640196,-0.396659908
26Q495-2004,BAYSIDE HIGH SCHOOL - 2004,0,70.3,67.6,47.7,5.5,-1.254810017,1.173345434,-0.575003717
26Q495-2003,BAYSIDE HIGH SCHOOL - 2003,0,71.2,67.2,44.7,9.2,-1.022378389,1.224580827,-0.232159265
26Q495-2002,BAYSIDE HIGH SCHOOL - 2002,1,69.5,66.2,40.4,8.9,-0.892499732,1.045879399,-0.242961312
26Q495-2001,BAYSIDE HIGH SCHOOL - 2001,1,68.2,62.3,38.4,11.7,-0.604215054,1.120525165,-0.078880064
26Q566-2017,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2017",0,94.3,94.3,25.1,1.4,-2.091869004,-0.22250152,0.239596985
26Q566-2016,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2016",1,94,94,19.4,1.2,-1.974871293,-0.467001328,0.29040084
26Q566-2015,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2015",1,90.8,75.6,10,2.2,-1.291255523,-0.735558847,0.143095784
26Q566-2014,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2014",1,89.8,80.8,13.1,1.6,-1.466043671,-0.642617815,0.121646611
26Q566-2013,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2013",1,91.1,78.8,19.7,0.7,-1.631963592,-0.415794791,-0.049327478
26Q566-2012,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2012",1,89.4,78.8,12,2.5,-1.349499521,-0.635773483,0.168681076
26Q566-2011,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2011",1,89.8,77.1,7.3,3.3,-1.190080254,-0.790755114,0.274435621
26Q566-2010,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2010",1,87.3,77.1,10.3,3.8,-1.168568408,-0.622468858,0.231961857
26Q566-2009,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2009",1,85.2,78.5,8.4,1.7,-1.216165793,-0.79320547,0.078259024
26Q566-2008,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2008",1,84.4,74.3,7.4,1.9,-1.082891703,-0.807599748,0.025827986
26Q566-2007,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2007",1,82.2,61,9.1,2.1,-0.787451677,-0.674003667,-0.234450209
26Q566-2006,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2006",1,83.6,65.1,12.5,3.2,-0.915452052,-0.499777185,-0.102565284
26Q566-2005,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2005",1,80.7,56.1,13,3,-0.687287251,-0.442496568,-0.320237701
26Q566-2004,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2004",1,82.9,59.8,0,3.6,-0.521951543,-0.981668438,-0.0007865
26Q566-2003,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2003",1,85.9,64.3,20,2,-1.161336019,-0.260899481,-0.273185778
26Q566-2002,"QUEENS HIGH SCHOOL OF TEACHING, LIBERAL ARTS AND THE SCIENCES - 2002",1,83.1,63.4,0,0,-0.779131638,-1.170062664,-0.224859337
27Q260-2017,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2017,2,36,36,0,23.3,2.005806866,0.401026729,0.39130139
27Q260-2016,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2016,2,50.5,48.5,0,32,1.858173607,0.686736747,1.528863124
27Q260-2015,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2015,2,42.4,30.4,0,21.7,1.894574326,0.290144999,0.280255745
27Q260-2014,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2014,2,39.5,21.9,0,18.4,1.967904914,0.17276201,-0.168850656
27Q260-2013,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2013,2,41.3,35.9,0,21.7,1.807966524,0.283224546,0.351344072
27Q260-2012,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2012,1,60.4,52.8,0,15.1,0.70340566,-0.229696756,0.422013562
27Q260-2011,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2011,2,39.8,39.8,0,21.7,1.762858333,0.283669593,0.389690347
27Q260-2010,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2010,1,54.8,53.8,0,6.5,0.380761166,-0.61370709,-0.338784581
27Q260-2009,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2009,2,44.3,42.5,0,8.5,0.947464656,-0.406286994,-0.539703273
27Q260-2008,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2008,1,66.1,58,3.6,6.3,-0.042335225,-0.568933765,-0.145393423
27Q260-2007,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2007,1,66.7,57.1,1.9,6.7,0.016318417,-0.622152547,-0.09536425
27Q260-2006,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2006,1,71.6,55.8,8.4,4.2,-0.323163791,-0.506860894,-0.320410514
27Q260-2005,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2005,1,75.3,54.1,0,2.4,-0.294160354,-0.968534126,-0.316215408
27Q260-2004,FREDERICK DOUGLASS ACADEMY VI HIGH SCHOOL - 2004,1,63.5,44.6,0,1.4,0.115770612,-0.903912424,-0.747962604
27Q261-2017,VOYAGES PREP - SOUTH QUEENS - 2017,1,41.9,41.9,0,2.6,0.719539959,-0.676924119,-1.058422642
27Q261-2016,VOYAGES PREP - SOUTH QUEENS - 2016,2,35.4,31,0,1.8,1.047818135,-0.638023362,-1.408277659
27Q261-2015,VOYAGES PREP - SOUTH QUEENS - 2015,2,15.8,14.2,0,1.7,1.827311154,-0.451123744,-2.018002824
27Q261-2014,VOYAGES PREP - SOUTH QUEENS - 2014,2,27.9,26.4,0,2.3,1.335879615,-0.545056577,-1.569065131
27Q261-2013,VOYAGES PREP - SOUTH QUEENS - 2013,2,22.5,19.8,0,5.4,1.746690603,-0.334358865,-1.520656738
27Q261-2012,VOYAGES PREP - SOUTH QUEENS - 2012,2,19.2,16.7,0,15,2.363362618,0.170749808,-0.863686053
27Q261-2011,VOYAGES PREP - SOUTH QUEENS - 2011,2,13,13,0,16.3,2.6436608,0.290921244,-0.924488123
27Q261-2010,VOYAGES PREP - SOUTH QUEENS - 2010,2,1.4,1.4,0,14.5,3.051718238,0.320481728,-1.450622731
27Q262-2017,CHANNEL VIEW SCHOOL FOR RESEARCH - 2017,0,96,96,20.5,0.7,-2.107685957,-0.466070113,0.301949921
27Q262-2016,CHANNEL VIEW SCHOOL FOR RESEARCH - 2016,0,99.2,99.2,25.6,0,-2.382058884,-0.320367991,0.283487209
27Q262-2015,CHANNEL VIEW SCHOOL FOR RESEARCH - 2015,1,91.6,84,7.6,2.5,-1.416675041,-0.849903839,0.349301428
27Q262-2014,CHANNEL VIEW SCHOOL FOR RESEARCH - 2014,1,94.5,84.4,12.5,0.8,-1.673383087,-0.751800324,0.20348012
27Q262-2013,CHANNEL VIEW SCHOOL FOR RESEARCH - 2013,1,91.1,85.7,3.6,0,-1.484511948,-1.140607962,0.223727608
27Q262-2012,CHANNEL VIEW SCHOOL FOR RESEARCH - 2012,1,91.1,83.1,8.9,0.8,-1.497965737,-0.873095287,0.173743469
27Q262-2011,CHANNEL VIEW SCHOOL FOR RESEARCH - 2011,1,79.3,74.8,1.8,4.5,-0.735685355,-0.876756749,0.230353042
27Q262-2010,CHANNEL VIEW SCHOOL FOR RESEARCH - 2010,1,93.8,87.5,11.5,0,-1.740292747,-0.836150267,0.192087801
27Q262-2009,CHANNEL VIEW SCHOOL FOR RESEARCH - 2009,1,77.2,72.8,9.8,4.3,-0.817702957,-0.531850424,0.03922002
27Q262-2008,CHANNEL VIEW SCHOOL FOR RESEARCH - 2008,1,88.6,85.2,11.4,0,-1.573900757,-0.795351921,0.068884612
27Q262-2007,CHANNEL VIEW SCHOOL FOR RESEARCH - 2007,1,84.2,76.2,23.8,0,-1.540000649,-0.220796108,-0.317950429
27Q262-2006,CHANNEL VIEW SCHOOL FOR RESEARCH - 2006,1,94.4,83.1,18.3,0,-1.800787891,-0.544938251,0.039141514
27Q262-2005,CHANNEL VIEW SCHOOL FOR RESEARCH - 2005,1,92.6,82.4,20.6,4.4,-1.572292884,-0.217350037,0.316259158
27Q262-2004,CHANNEL VIEW SCHOOL FOR RESEARCH - 2004,1,85.5,72.4,15.8,3.9,-1.13761823,-0.361891585,0.059342363
27Q302-2017,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY - 2017",0,87.3,87.3,49.1,9.1,-1.887583412,1.228308085,0.297620572
27Q302-2016,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY - 2016",1,81.3,80.6,26.1,9.7,-1.125507046,0.361590466,0.444823938
27Q302-2015,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY - 2015",1,80.3,68.2,11.4,12.1,-0.437404511,-0.09198471,0.614483145
27Q302-2014,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY - 2014",1,80.4,73.9,15.2,14.1,-0.531500252,0.148451969,0.816759183
27Q302-2013,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY - 2013",1,79.2,70.3,4,15.8,-0.122293133,-0.216246538,1.023643118
27Q302-2012,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY - 2012",1,67.1,51.2,11,11,0.159316058,-0.017967633,0.034645729
27Q302-2011,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY - 2011",2,50.6,45.8,2.4,20.5,1.288704542,0.227998987,0.540679371
27Q302-2010,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY - 2010",1,64.5,63.2,2.6,13.2,0.252824234,-0.273720098,0.474071653
27Q302-2009,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY - 2009",2,56,50.5,0,24.2,1.303814301,0.256806131,1.033852601
27Q302-2008,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY - 2008",1,75,75,0,11.8,-0.242027602,-0.561441536,0.765738746
27Q302-2007,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY - 2007",2,0,0,0,75,6.131055041,3.309743072,3.309790436
27Q308-2017,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY - 2017,0,98.7,98.7,60.4,0.6,-3.027280032,1.1655607,-0.153033365
27Q308-2016,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY - 2016,0,94.6,90.5,58.1,2,-2.652263498,1.191469666,-0.213041108
27Q308-2015,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY - 2015,1,88.6,82.3,25.9,5.7,-1.520902858,0.097621858,0.279678492
27Q308-2014,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY - 2014,0,95.3,88.6,37.6,0.7,-2.284099314,0.272602579,-0.060022874
27Q308-2013,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY - 2013,0,92,87.6,27.7,0,-2.025849617,-0.14742257,-0.054150297
27Q308-2012,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY - 2012,0,88.1,83.4,29.8,3.3,-1.729725531,0.14295186,0.046116384
27Q308-2011,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY - 2011,1,91.2,86.4,20.4,1.4,-1.767404339,-0.373785082,0.122249631
27Q308-2010,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY - 2010,1,89.7,82.2,21.9,3.4,-1.578494581,-0.190200452,0.167502282
27Q308-2009,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY - 2009,1,89.6,85.8,14.2,6.7,-1.330398979,-0.358194513,0.590080418
27Q308-2008,ROBERT H. GODDARD HIGH SCHOOL OF COMMUNICATION ARTS AND TECHNOLOGY - 2008,1,82.8,76.6,15.6,7,-1.00292603,-0.209251999,0.331447398
27Q309-2017,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL - 2017,1,75.2,75.2,5.9,2,-0.857785884,-0.799320226,-0.085543751
27Q309-2016,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL - 2016,1,69.1,68.2,5.5,5.5,-0.39504367,-0.579333426,-0.018217275
27Q309-2015,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL - 2015,1,62.8,51.3,1.8,15.9,0.68336246,-0.129012121,0.477175036
27Q309-2014,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL - 2014,1,77.5,67.6,2,6.9,-0.433168908,-0.717254026,0.271003145
27Q309-2013,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL - 2013,1,72.5,67,3.3,12.1,-0.074294661,-0.368518457,0.573138306
27Q309-2012,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL - 2012,1,65.6,57.8,1.1,14.4,0.427317263,-0.270623208,0.520107894
27Q309-2011,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL - 2011,1,62.1,61.2,8.7,8.7,0.001043214,-0.21727029,-0.038182957
27Q309-2010,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL - 2010,1,55.1,54.2,4.7,7.5,0.321677743,-0.371847824,-0.310962869
27Q309-2009,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL - 2009,1,64.6,63.1,1.5,3.1,-0.229432551,-0.816719254,-0.31353072
27Q309-2008,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL - 2008,1,77.8,72.2,2.8,5.6,-0.614122533,-0.76267301,0.236862295
27Q314-2017,EPIC HIGH SCHOOL - SOUTH - 2017,1,87.6,87.6,17.5,6.2,-1.412616757,-0.235228358,0.501798596
27Q314-2016,EPIC HIGH SCHOOL - SOUTH - 2016,1,73.7,73.7,9.1,19.2,0.000902977,0.195192249,1.188428745
27Q314-2015,EPIC HIGH SCHOOL - SOUTH - 2015,1,76.1,64.8,0,5.7,-0.364542869,-0.841579347,0.133517148
27Q314-2014,EPIC HIGH SCHOOL - SOUTH - 2014,1,60.3,54.8,2.7,17.8,0.745813114,0.010929276,0.631116197
27Q323-2017,SCHOLARS' ACADEMY - 2017,0,100,100,85.5,0,-3.615471158,2.169620398,-0.495083898
27Q323-2016,SCHOLARS' ACADEMY - 2016,0,97.8,96.2,88.6,1.6,-3.47081075,2.404369183,-0.508329603
27Q323-2015,SCHOLARS' ACADEMY - 2015,0,100,97.5,86.6,0,-3.586801072,2.222358452,-0.550555886
27Q323-2014,SCHOLARS' ACADEMY - 2014,0,100,100,95.9,0,-3.823657852,2.603352723,-0.634849071
27Q323-2013,SCHOLARS' ACADEMY - 2013,0,100,100,100,0,-3.905731453,2.774343351,-0.689948803
27Q323-2012,SCHOLARS' ACADEMY - 2012,0,100,100,97.3,0,-3.851682984,2.661739766,-0.653663614
27Q323-2011,SCHOLARS' ACADEMY - 2011,0,99.2,99.2,96.6,0.8,-3.763409505,2.680028215,-0.607119835
27Q323-2010,SCHOLARS' ACADEMY - 2010,0,100,100,98.1,0,-3.867697345,2.695103791,-0.664414781
27Q323-2009,SCHOLARS' ACADEMY - 2009,0,100,100,96.9,0,-3.843675804,2.645057754,-0.64828803
27Q323-2008,SCHOLARS' ACADEMY - 2008,0,98.9,98.9,88.6,0,-3.630313453,2.310102593,-0.573075657
27Q323-2007,SCHOLARS' ACADEMY - 2007,0,100,100,99,0,-3.885713502,2.732638319,-0.676509844
27Q324-2017,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY - 2017,1,65.6,65.6,28.1,9.4,-0.520844253,0.588132887,-0.113037918
27Q324-2016,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY - 2016,1,61.4,61.4,1.4,11.4,0.29371404,-0.384293325,0.265961583
27Q324-2015,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY - 2015,1,68.4,50.5,2.1,18.9,0.716478884,-0.00841221,0.792283323
27Q324-2014,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY - 2014,1,74.7,56.3,2.3,14.9,0.252589864,-0.25951962,0.671739957
27Q324-2013,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY - 2013,1,70.6,51.5,1.5,14.7,0.448793442,-0.259064114,0.519792913
27Q324-2012,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY - 2012,2,62.1,50.5,1.1,22.1,1.038857925,0.154071139,0.954417605
27Q324-2011,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY - 2011,2,52.8,44.9,1.1,18,1.158394287,0.036964431,0.381735456
27Q324-2010,ROCKAWAY PARK HIGH SCHOOL FOR ENVIRONMENTAL SUSTAINABILITY - 2010,2,52.8,50,2.8,18.9,1.065870932,0.138119809,0.513398981
27Q334-2017,EPIC HIGH SCHOOL - NORTH - 2017,1,92.8,92.8,13.5,4.5,-1.640573699,-0.538573208,0.592237946
27Q334-2016,EPIC HIGH SCHOOL - NORTH - 2016,1,76.1,76.1,0,9.4,-0.409012741,-0.690655104,0.611392604
27Q334-2015,EPIC HIGH SCHOOL - NORTH - 2015,1,75.3,58.4,0,7.9,-0.106869858,-0.709882102,0.190738321
27Q334-2014,EPIC HIGH SCHOOL - NORTH - 2014,1,79.6,73.8,0,1.9,-0.815923466,-1.07916263,0.036726381
27Q351-2017,ROCKAWAY COLLEGIATE HIGH SCHOOL - 2017,1,77.8,76.5,11.1,9.9,-0.652866926,-0.216877712,0.536934099
27Q351-2016,ROCKAWAY COLLEGIATE HIGH SCHOOL - 2016,1,77.6,77.6,11.8,10.6,-0.649720521,-0.154795338,0.597693706
27Q351-2015,ROCKAWAY COLLEGIATE HIGH SCHOOL - 2015,1,59.3,46.9,4.9,13.6,0.674998164,-0.074730076,0.122535336
27Q351-2014,ROCKAWAY COLLEGIATE HIGH SCHOOL - 2014,1,66.7,63.4,1.1,15.1,0.323795649,-0.259750723,0.685293483
27Q351-2013,ROCKAWAY COLLEGIATE HIGH SCHOOL - 2013,1,63.4,60.6,1.4,18.3,0.608988072,-0.057665964,0.834642834
27Q351-2012,ROCKAWAY COLLEGIATE HIGH SCHOOL - 2012,2,61.4,53.5,0,19.8,0.901120288,-0.007935412,0.823568411
27Q351-2011,ROCKAWAY COLLEGIATE HIGH SCHOOL - 2011,2,49,46.9,3.1,12.5,0.889381644,-0.127322952,-0.113219133
27Q400-2017,AUGUST MARTIN HIGH SCHOOL - 2017,1,95,95,21.3,3.8,-1.926073865,-0.270088776,0.504461876
27Q400-2016,AUGUST MARTIN HIGH SCHOOL - 2016,1,86.4,86.4,4.9,3.7,-1.233647369,-0.871431625,0.432873668
27Q400-2015,AUGUST MARTIN HIGH SCHOOL - 2015,1,83.6,70.9,0,9.1,-0.488389098,-0.746886067,0.628568433
27Q400-2014,AUGUST MARTIN HIGH SCHOOL - 2014,1,65.6,60.4,0,14.6,0.406600566,-0.313801014,0.593097208
27Q400-2013,AUGUST MARTIN HIGH SCHOOL - 2013,2,60.2,56.9,0,22,0.969147277,0.099834246,1.033589982
27Q400-2012,AUGUST MARTIN HIGH SCHOOL - 2012,2,28.8,26.4,0,32,2.797674687,0.908713086,0.805641593
27Q400-2011,AUGUST MARTIN HIGH SCHOOL - 2011,2,24.1,21,0,19.8,2.404757717,0.358555,-0.33025916
27Q400-2010,AUGUST MARTIN HIGH SCHOOL - 2010,2,28.4,25.6,0,18.8,2.164208735,0.264789242,-0.26280414
27Q400-2009,AUGUST MARTIN HIGH SCHOOL - 2009,2,28.2,26.8,0.7,17.2,2.050546252,0.213497518,-0.383149216
27Q400-2008,AUGUST MARTIN HIGH SCHOOL - 2008,2,35.4,32.1,0.3,15.9,1.72316846,0.06481834,-0.274178001
27Q400-2007,AUGUST MARTIN HIGH SCHOOL - 2007,2,49.3,36.4,1.1,18.2,1.419979241,0.096149755,0.200648357
27Q400-2006,AUGUST MARTIN HIGH SCHOOL - 2006,2,53.5,26.4,3.8,16.7,1.398722483,0.131221195,-0.047206006
27Q400-2005,AUGUST MARTIN HIGH SCHOOL - 2005,2,47.9,20.6,1,21.9,1.958692359,0.327700406,0.215343979
27Q400-2004,AUGUST MARTIN HIGH SCHOOL - 2004,2,51.9,21,2,19.3,1.710230076,0.210720846,0.068858455
27Q400-2003,AUGUST MARTIN HIGH SCHOOL - 2003,2,43.7,14.2,2,22,2.16854112,0.423112473,0.035325153
27Q400-2002,AUGUST MARTIN HIGH SCHOOL - 2002,2,44.4,15.8,2.6,19.5,1.983474872,0.315605533,-0.133592425
27Q400-2001,AUGUST MARTIN HIGH SCHOOL - 2001,2,41.3,2.5,0,10.7,1.936228664,-0.166003314,-1.06619959
27Q410-2010,BEACH CHANNEL HS - 2010,2,65.1,34.9,0,32.6,1.833247889,0.645040817,1.599770248
27Q410-2009,BEACH CHANNEL HS - 2009,2,26.6,21.9,0.9,32.2,2.930700866,0.984789074,0.699340316
27Q410-2008,BEACH CHANNEL HS - 2008,2,27.8,23.3,0.3,24,2.477930708,0.543777935,0.098812437
27Q410-2007,BEACH CHANNEL HS - 2007,2,39.8,29.9,2.7,19.3,1.789769813,0.305431782,0.001599061
27Q410-2006,BEACH CHANNEL HS - 2006,2,48.6,30.3,2.1,15.7,1.414733912,0.03686859,-0.122420857
27Q410-2005,BEACH CHANNEL HS - 2005,2,45.2,35.6,1.4,19.4,1.582926216,0.200343997,0.210249397
27Q410-2004,BEACH CHANNEL HS - 2004,2,48.1,37.7,4.7,21.9,1.533378429,0.433582647,0.447284008
27Q410-2003,BEACH CHANNEL HS - 2003,2,46.9,10.5,0.9,23.5,2.26797423,0.437366177,0.162669345
27Q410-2002,BEACH CHANNEL HS - 2002,2,52.8,7,1.9,14.5,1.736170592,0.002256163,-0.523933789
